metric,n_belief_ai,belief_ai_mean_blind,belief_ai_sd_blind,n_belief_human,belief_human_mean_blind,belief_human_sd_blind,human_minus_ai,mann_whitney_u,p_value,q_holm
fun,28,2.173214,0.727818,32,3.212500,0.575578,1.039286,128.500000,0.000002,0.000009
challenging,28,2.333929,0.934826,32,2.425000,0.762953,0.091071,421.000000,0.694449,0.694449
frustrating,28,2.592857,1.247198,32,1.662500,0.540758,-0.930357,634.500000,0.005803,0.017409
surprising,28,2.105357,0.813581,32,1.626562,0.623852,-0.478795,593.500000,0.031523,0.063046
design,28,1.858286,0.661455,32,2.968750,0.676656,1.110464,112.500000,0.000001,0.000003
