metric,grand_mean,grand_normalized_mean,truth_ai_n,truth_ai_mean,truth_ai_std,truth_ai_normalized_mean,truth_human_n,truth_human_mean,truth_human_std,truth_human_normalized_mean,belief_ai_n,belief_ai_mean,belief_ai_std,belief_ai_normalized_mean,belief_human_n,belief_human_mean,belief_human_std,belief_human_normalized_mean,truth_human_minus_ai,belief_human_minus_ai,human_belief_minus_truth,ai_belief_minus_truth,truth_normalized_human_minus_ai,belief_normalized_human_minus_ai,human_normalized_belief_minus_truth,ai_normalized_belief_minus_truth,truth_mann_whitney_u,truth_mann_whitney_p,truth_mann_whitney_q_holm,truth_significance,belief_mann_whitney_u,belief_mann_whitney_p,belief_mann_whitney_q_holm,belief_significance
fun,2.651667,-0.174167,30,2.616667,0.874084,-0.191667,30,2.686667,0.908668,-0.156667,28,2.071429,0.735908,-0.464286,32,3.159375,0.669067,0.079687,0.070000,1.087946,0.472708,-0.545238,0.035000,0.543973,0.236354,-0.272619,432.000000,0.795743,1.000000,n.s.,121.000000,0.000001,0.000012,***
challenging,1.793333,-0.603333,30,1.805000,0.626340,-0.597500,30,1.781667,0.637274,-0.609167,28,1.558929,0.492359,-0.720536,32,1.998438,0.665568,-0.500781,-0.023333,0.439509,0.216771,-0.246071,-0.011667,0.219754,0.108385,-0.123036,441.000000,0.899709,1.000000,n.s.,265.500000,0.006840,0.054723,n.s.
frustrating,1.514167,-0.742917,30,1.485000,0.651543,-0.757500,30,1.543333,0.891505,-0.728333,28,1.785714,1.053904,-0.607143,32,1.276563,0.223601,-0.861719,0.058333,-0.509152,-0.266771,0.300714,0.029167,-0.254576,-0.133385,0.150357,432.500000,0.800340,1.000000,n.s.,372.500000,0.263458,1.000000,n.s.
surprising,1.408333,-0.795833,30,1.420000,0.347553,-0.790000,30,1.396667,0.371839,-0.801667,28,1.382143,0.348599,-0.808929,32,1.431250,0.368246,-0.784375,-0.023333,0.049107,0.034583,-0.037857,-0.011667,0.024554,0.017292,-0.018929,415.000000,0.608801,1.000000,n.s.,400.000000,0.480061,1.000000,n.s.
design,2.486267,-0.256867,30,2.441667,0.812200,-0.279167,30,2.530867,1.003014,-0.234567,28,1.838429,0.658456,-0.580786,32,3.053125,0.688258,0.026563,0.089200,1.214696,0.522258,-0.603238,0.044600,0.607348,0.261129,-0.301619,431.000000,0.784390,1.000000,n.s.,98.500000,0.000000,0.000002,***
