metric,title,n,forced_human_mean,forced_ai_mean,mean_delta_human_minus_ai,sd_delta_human_minus_ai,pearson_r,spearman_rho,kendall_tau_b,pair_order_agreement,icc_consistency,icc_absolute,top10_overlap,top15_overlap,mean_abs_rank_change,median_abs_rank_change,max_abs_rank_change,kendall_concordant,kendall_discordant,kendall_ties_human_only,kendall_ties_ai_only,kendall_ties_both
fun,fun,60,2.572500,2.297500,0.275000,0.409992,0.871945,0.865259,0.681059,0.816280,0.863629,0.815451,0.600000,0.666667,6.733333,5.000000,23.500000,1444,261,32,32,1
challenging,challenging,60,2.067500,1.796667,0.270833,0.365492,0.852019,0.862616,0.716237,0.826901,0.834348,0.766724,0.600000,0.600000,6.550000,5.500000,32.000000,1457,224,43,38,8
frustrating,frustrating,60,1.957500,1.774167,0.183333,0.489350,0.874233,0.829200,0.673779,0.797605,0.873585,0.860135,0.700000,0.733333,7.650000,5.750000,25.000000,1399,252,28,75,16
surprising,surprising,60,1.559167,1.418333,0.140833,0.273473,0.814730,0.749447,0.586366,0.743343,0.812493,0.776315,0.600000,0.733333,9.033333,8.250000,35.000000,1312,317,49,87,5
design,design,60,2.323333,1.915000,0.408333,0.395651,0.892429,0.888002,0.731356,0.842105,0.861912,0.752906,0.800000,0.800000,5.683333,4.000000,24.500000,1488,218,29,32,3
