comparison,metric,n,tau_b,p_value_two_sided,pair_order_agreement,concordant,discordant,ties_x_only,ties_y_only,ties_both
creator_judgment_vs_blind,fun,60,0.5537980877326637,8.569610653534479e-10,0.7526881720430108,1330,370,26,41,3
creator_judgment_vs_blind,challenging,60,0.5959931914920884,5.2830687807115294e-11,0.7648725212464589,1350,325,70,20,5
creator_judgment_vs_blind,frustrating,60,0.44821047400615444,1.2054702869137518e-06,0.6685552407932012,1180,425,122,38,5
creator_judgment_vs_blind,surprising,60,0.3090534801685724,0.0007641915047023369,0.6125921724333523,1080,555,94,34,7
creator_judgment_vs_blind,design,60,0.6054549528819667,1.612594317021188e-11,0.7839366515837104,1386,331,20,31,2
